ProducedRate,n_prod,n_gen,process_type,pol,process_id,NbEvents,int.lumi(1/fb),Done %,ElogID(s),ProdIDs of DST and REC files,xsect_pb,xsect_error_pb,int_lumi_fb,energy_GeV,source_url
100.00%,33598600,33600000,e1e1h_uu,eL.pR,402702,100000,471569339,100.0,617,"DST=15816,15817;REC=15816",0.000212057892,2.736e-07,471569339.0,250,https://ild.ngt.ndu.ac.jp/elog/genmeta/3712
100.00%,33598600,33600000,e1e1h_uu,eR.pL,402705,100000,748130541,100.0,617,"DST=15816,15817;REC=15816",0.000133666512,1.716e-07,748130541.0,250,https://ild.ngt.ndu.ac.jp/elog/genmeta/3691
100.00%,33598600,33600000,e1e1h_uu,eR.pR,402711,100000,13365722435,100.0,617,"DST=15816,15817;REC=15816",7.48182528e-06,5.688e-09,13365722400.0,250,https://ild.ngt.ndu.ac.jp/elog/genmeta/3701
100.00%,33598600,33600000,e1e1h_ww,eL.pL,402122,500000,3747398,100.0,387,"DST=15212,15213;REC=15212",0.133425884,0.000101436,3747398.82,250,https://ild.ngt.ndu.ac.jp/elog/genmeta/3491
100.00%,33598600,33600000,e1e1h_ww,eL.pR,402104,500000,132215,100.0,387,"DST=15212,15213;REC=15212",3.78169907,0.0048792,132215.703,250,https://ild.ngt.ndu.ac.jp/elog/genmeta/3492
100.00%,33598600,33600000,e1e1h_ww,eR.pL,402113,500000,209756,100.0,387,"DST=15212,15213;REC=15212",2.38371946,0.0030602,209756.227,250,https://ild.ngt.ndu.ac.jp/elog/genmeta/3493
100.00%,33598600,33600000,e1e1h_ww,eR.pR,402131,500000,3747398,100.0,387,"DST=15212,15213;REC=15212",0.133425884,0.000101436,3747398.82,250,https://ild.ngt.ndu.ac.jp/elog/genmeta/3494
100.00%,33598600,33600000,e1e1h_zz,eL.pL,402123,500000,30608524,100.0,387,"DST=15212,15213;REC=15212",0.0163353185,1.24188e-05,30608524.7,250,https://ild.ngt.ndu.ac.jp/elog/genmeta/3495
100.00%,33598600,33600000,e1e1h_zz,eL.pR,402105,500000,1079929,100.0,387,"DST=15212,15213;REC=15212",0.462993064,0.00059736,1079929.78,250,https://ild.ngt.ndu.ac.jp/elog/genmeta/3496
100.00%,33598600,33600000,e1e1h_zz,eR.pL,402114,500000,1713276,100.0,387,"DST=15212,15213;REC=15212",0.291838551,0.00037466,1713276.05,250,https://ild.ngt.ndu.ac.jp/elog/genmeta/3497
100.00%,33598600,33600000,e1e1h_zz,eR.pR,402132,500000,30608524,100.0,387,"DST=15212,15213;REC=15212",0.0163353185,1.24188e-05,30608524.7,250,https://ild.ngt.ndu.ac.jp/elog/genmeta/3498
100.00%,33598600,33600000,e2e2h_aa,eL.pR,402142,100000,2595825,100.0,385,"DST=15206,15207;REC=15206",0.0385233869,3.1326e-05,2595825.76,250,https://ild.ngt.ndu.ac.jp/elog/genmeta/3499
100.00%,33598600,33600000,e2e2h_aa,eR.pL,402151,100000,4053033,100.0,385,"DST=15206,15207;REC=15206",0.0246728752,2.01576e-05,4053033.92,250,https://ild.ngt.ndu.ac.jp/elog/genmeta/3500
100.00%,33598600,33600000,e2e2h_az,eL.pR,402143,100000,3851323,100.0,385,"DST=15206,15207;REC=15206",0.0259651021,2.1114e-05,3851323.2,250,https://ild.ngt.ndu.ac.jp/elog/genmeta/3501
100.00%,33598600,33600000,e2e2h_az,eR.pL,402152,100000,6013324,100.0,385,"DST=15206,15207;REC=15206",0.0166297352,1.35864e-05,6013324.85,250,https://ild.ngt.ndu.ac.jp/elog/genmeta/3502
100.00%,33598600,33600000,e2e2h_bb,eL.pR,402137,100000,10124,100.0,385,"DST=15206,15207;REC=15206",9.87692121,0.0080316,10124.6125,250,https://ild.ngt.ndu.ac.jp/elog/genmeta/3503
100.00%,33598600,33600000,e2e2h_bb,eR.pL,402146,100000,15808,100.0,385,"DST=15206,15207;REC=15206",6.32582086,0.00516816,15808.2251,250,https://ild.ngt.ndu.ac.jp/elog/genmeta/3504
100.00%,33598600,33600000,e2e2h_cc,eL.pR,402138,100000,203893,100.0,385,"DST=15206,15207;REC=15206",0.490451929,0.00039882,203893.581,250,https://ild.ngt.ndu.ac.jp/elog/genmeta/3505
100.00%,33598600,33600000,e2e2h_cc,eR.pL,402147,100000,318352,100.0,385,"DST=15206,15207;REC=15206",0.314117221,0.000256632,318352.492,250,https://ild.ngt.ndu.ac.jp/elog/genmeta/3506
100.00%,33598600,33600000,e2e2h_dd,eL.pR,402715,100000,113317778,100.0,617,"DST=15816,15817;REC=15816",0.00088247406,7.176e-07,113317778.0,250,https://ild.ngt.ndu.ac.jp/elog/genmeta/3692
100.00%,33598600,33600000,e2e2h_dd,eR.pL,402718,100000,176930519,100.0,617,"DST=15816,15817;REC=15816",0.000565193616,4.6176e-07,176930519.0,250,https://ild.ngt.ndu.ac.jp/elog/genmeta/3700
100.00%,33598600,33600000,e2e2h_e2e2,eL.pR,402145,100000,27029928,100.0,385,"DST=15206,15207;REC=15206",0.00369960279,3.0084e-06,27029928.8,250,https://ild.ngt.ndu.ac.jp/elog/genmeta/3507
100.00%,33598600,33600000,e2e2h_e2e2,eR.pL,402154,100000,42203610,100.0,385,"DST=15206,15207;REC=15206",0.00236946554,1.93584e-06,42203610.2,250,https://ild.ngt.ndu.ac.jp/elog/genmeta/3508
100.00%,33598600,33600000,e2e2h_e3e3,eL.pR,402144,500000,469898,100.0,385,"DST=15206,15207;REC=15206",1.06406007,0.00086526,469898.283,250,https://ild.ngt.ndu.ac.jp/elog/genmeta/3509
100.00%,33598600,33600000,e2e2h_e3e3,eR.pL,402153,500000,733683,100.0,385,"DST=15206,15207;REC=15206",0.681493072,0.000556776,733683.174,250,https://ild.ngt.ndu.ac.jp/elog/genmeta/3510
100.00%,33598600,33600000,e2e2h_gg,eL.pR,402139,100000,71947,100.0,385,"DST=15206,15207;REC=15206",1.38989664,0.00113022,71947.7961,250,https://ild.ngt.ndu.ac.jp/elog/genmeta/3511
100.00%,33598600,33600000,e2e2h_gg,eR.pL,402148,100000,112336,100.0,385,"DST=15206,15207;REC=15206",0.890179945,0.000727272,112336.838,250,https://ild.ngt.ndu.ac.jp/elog/genmeta/3512
100.00%,33598600,33600000,e2e2h_ss,eL.pR,402713,100000,23953351,100.0,617,"DST=15816,15817;REC=15816",0.00417478113,3.3948e-06,23953351.5,250,https://ild.ngt.ndu.ac.jp/elog/genmeta/3716
100.00%,33598600,33600000,e2e2h_ss,eR.pL,402716,100000,37399947,100.0,617,"DST=15816,15817;REC=15816",0.00267380057,2.18448e-06,37399947.1,250,https://ild.ngt.ndu.ac.jp/elog/genmeta/3707
100.00%,33598600,33600000,e2e2h_uu,eL.pR,402714,100000,491043706,100.0,617,"DST=15816,15817;REC=15816",0.00020364786,1.656e-07,491043707.0,250,https://ild.ngt.ndu.ac.jp/elog/genmeta/3711
100.00%,33598600,33600000,e2e2h_uu,eR.pL,402717,100000,766698917,100.0,617,"DST=15816,15817;REC=15816",0.000130429296,1.0656e-07,766698917.0,250,https://ild.ngt.ndu.ac.jp/elog/genmeta/3709
100.00%,33598600,33600000,e2e2h_ww,eL.pR,402140,500000,137675,100.0,385,"DST=15206,15207;REC=15206",3.63172017,0.0029532,137675.806,250,https://ild.ngt.ndu.ac.jp/elog/genmeta/3513
100.00%,33598600,33600000,e2e2h_ww,eR.pL,402149,500000,214962,100.0,385,"DST=15206,15207;REC=15206",2.32598911,0.00190032,214962.313,250,https://ild.ngt.ndu.ac.jp/elog/genmeta/3514
100.00%,33598600,33600000,e2e2h_zz,eL.pR,402141,500000,1124527,100.0,385,"DST=15206,15207;REC=15206",0.444631161,0.00036156,1124527.57,250,https://ild.ngt.ndu.ac.jp/elog/genmeta/3515
100.00%,33598600,33600000,e2e2h_zz,eR.pL,402150,500000,1755799,100.0,385,"DST=15206,15207;REC=15206",0.28477063,0.000232656,1755799.04,250,https://ild.ngt.ndu.ac.jp/elog/genmeta/3516
100.00%,33598600,33600000,e3e3h_aa,eL.pR,402160,100000,2600411,100.0,386,"DST=15209,15210;REC=15209",0.038455448,4.6762e-05,2600411.78,250,https://ild.ngt.ndu.ac.jp/elog/genmeta/3517
100.00%,33598600,33600000,e3e3h_aa,eR.pL,402169,100000,4062632,100.0,386,"DST=15209,15210;REC=15209",0.0246145816,2.9737e-05,4062632.53,250,https://ild.ngt.ndu.ac.jp/elog/genmeta/3518
100.00%,33598600,33600000,e3e3h_az,eL.pR,402161,100000,3858127,100.0,386,"DST=15209,15210;REC=15209",0.0259193108,3.1518e-05,3858127.28,250,https://ild.ngt.ndu.ac.jp/elog/genmeta/3519
100.00%,33598600,33600000,e3e3h_az,eR.pL,402170,100000,6027565,100.0,386,"DST=15209,15210;REC=15209",0.0165904448,2.0043e-05,6027565.94,250,https://ild.ngt.ndu.ac.jp/elog/genmeta/3520
100.00%,33598600,33600000,e3e3h_bb,eL.pR,402155,100000,10142,100.0,386,"DST=15209,15210;REC=15209",9.85950253,0.0119892,10142.4996,250,https://ild.ngt.ndu.ac.jp/elog/genmeta/3521
100.00%,33598600,33600000,e3e3h_bb,eR.pL,402164,100000,15845,100.0,386,"DST=15209,15210;REC=15209",6.3108751,0.0076242,15845.663,250,https://ild.ngt.ndu.ac.jp/elog/genmeta/3522
100.00%,33598600,33600000,e3e3h_cc,eL.pR,402156,100000,204253,100.0,386,"DST=15209,15210;REC=15209",0.489586981,0.00059534,204253.797,250,https://ild.ngt.ndu.ac.jp/elog/genmeta/3523
100.00%,33598600,33600000,e3e3h_cc,eR.pL,402165,100000,319106,100.0,386,"DST=15209,15210;REC=15209",0.313375069,0.00037859,319106.432,250,https://ild.ngt.ndu.ac.jp/elog/genmeta/3524
