process_type,pol,process_id,NbEvents,int.lumi(1/fb),xsect_pb,xsect_error_pb,implied_xsec_fb,xsect_pb_in_fb,diff_if_xsect_pb_used,diff_if_xsect_pb_in_fb,unit_check,nGenerated,nSelected,weight,process_group
qqh_ss,eL.pR,402737,100000.0,1185038.0,0.0843854366,0.000107502,0.08438547962175053,84.3854366,4.3021750523175584e-08,84.30105112037826,xsect_pb seems to be in fb,5200.0,214.0,0.004056992144230769,Exclusive Higgs
qqh_uu,eL.pR,402738,100000.0,24293291.0,0.00411636276,5.244e-06,0.004116362826263432,4.1163627599999995,6.626343224125364e-11,4.112246397173736,xsect_pb seems to be in fb,5200.0,207.0,0.00019790205576923075,Exclusive Higgs
qqh_ww,eL.pR,402212,500000.0,6811.0,73.4084692,0.093518,73.41065922771986,73408.46919999999,0.0021900277198625417,73335.05854077227,xsect_pb seems to be in fb,8400.0,808.0,2.184775869047619,Exclusive Higgs
qqh_zz,eL.pR,402213,500000.0,55633.0,8.98739203,0.0114494,8.9874714647781,8987.39203,7.943477809924104e-05,8978.404558535223,xsect_pb seems to be in fb,8400.0,858.0,0.26748190565476193,Exclusive Higgs
2f_z_eehiq,eL.pR,500002,179572800.0,929.0,193112.24,113.0,193296.87836383207,193112240.0,184.638363832084,192918943.12163618,xsect_pb seems to be in fb,43200.0,2.0,1117.5476851851852,Two-fermion
2f_z_h,eL.pR,500010,639084400.0,4994.0,127965.53,29.6,127970.44453344012,127965530.0,4.914533440125524,127837559.55546656,xsect_pb seems to be in fb,15200.0,101.0,2104.6962171052633,Two-fermion
2f_z_l,eL.pR,500006,106489000.0,5019.0,21214.001,12.2,21217.174736003188,21214001.0,3.173736003187514,21192783.825263996,xsect_pb seems to be in fb,46000.0,20989.0,115.29348369565217,Two-fermion
4f_sw_l,eL.pR,500118,17499400.0,5113.0,3421.9693,1.33,3422.530803833366,3421969.3000000003,0.5615038333658049,3418546.769196167,xsect_pb seems to be in fb,43200.0,99.0,19.803063078703705,Four-fermion (single boson)
4f_sw_sl,eL.pR,500106,51371800.0,5005.0,10264.016,5.55,10264.095904095904,10264016.0,0.07990409590456693,10253751.904095905,xsect_pb seems to be in fb,16800.0,145.0,152.73833333333334,Four-fermion (single boson)
4f_sze_l,eL.pR,500114,28986800.0,5019.0,5774.7395,5.52,5775.413428969914,5774739.5,0.6739289699144138,5768964.08657103,xsect_pb seems to be in fb,35400.0,7170.0,40.78205861581921,Four-fermion (single boson)
4f_sze_sl,eL.pR,500102,7199600.0,5058.0,1423.3098,1.48,1423.4084618426255,1423309.8,0.09866184262546085,1421886.3915381574,xsect_pb seems to be in fb,18400.0,159.0,19.338448369565217,Four-fermion (single boson)
4f_szeorsw_l,eL.pR,500126,5000000.0,5079.0,984.31247,0.981,984.4457570387872,984312.47,0.13328703878721626,983328.0242429612,xsect_pb seems to be in fb,43200.0,1.0,5.696252719907407,Four-fermion (single boson)
4f_sznu_l,eL.pR,500122,1000000.0,5124.0,195.12634,0.117,195.160031225605,195126.34,0.033691225604997044,194931.1799687744,xsect_pb seems to be in fb,34000.0,13009.0,1.4347524999999999,Four-fermion (single boson)
4f_sznu_sl,eL.pR,500110,2298400.0,5064.0,453.86976,0.261,453.870458135861,453869.76,0.0006981358610005373,453415.88954186416,xsect_pb seems to be in fb,16800.0,336.0,6.754014285714286,Four-fermion (single boson)
4f_ww_h,eL.pR,500066,74279400.0,4996.0,14866.42,9.33,14867.7742193755,14866420.0,1.354219375500179,14851552.225780625,xsect_pb seems to be in fb,10200.0,263.0,364.3730392156863,Four-fermion (WW/ZZ)
4f_ww_l,eL.pR,500094,8000000.0,5116.0,1563.418,1.17,1563.721657544957,1563418.0,0.3036575449571046,1561854.278342455,xsect_pb seems to be in fb,33000.0,5793.0,11.844075757575757,Four-fermion (WW/ZZ)
4f_ww_sl,eL.pR,500082,93886800.0,4999.0,18779.145,9.82,18781.116223244648,18779145.0,1.9712232446472626,18760363.883776754,xsect_pb seems to be in fb,16800.0,1157.0,279.4515625,Four-fermion (WW/ZZ)
4f_zz_h,eL.pR,500062,7099000.0,5052.0,1405.06,0.839,1405.1860649247822,1405060.0,0.12606492478221298,1403654.8139350752,xsect_pb seems to be in fb,9400.0,586.0,37.3686170212766,Four-fermion (WW/ZZ)
4f_zz_l,eL.pR,500086,500000.0,5620.0,88.95738,0.0572,88.96797153024912,88957.38,0.010591530249115522,88868.41202846976,xsect_pb seems to be in fb,24000.0,8439.0,0.926639375,Four-fermion (WW/ZZ)
4f_zz_sl,eL.pR,500074,4199600.0,5010.0,838.07949,0.443,838.2435129740519,838079.49,0.16402297405193167,837241.246487026,xsect_pb seems to be in fb,15600.0,6035.0,13.430761057692308,Four-fermion (WW/ZZ)
4f_zznu_l,eL.pR,500090,400000.0,5449.0,73.39921,0.0393,73.40796476417691,73399.20999999999,0.008754764176913454,73325.80203523581,xsect_pb seems to be in fb,33000.0,14326.0,0.5560546212121211,Four-fermion (WW/ZZ)
4f_zznu_sl,eL.pR,500078,3099600.0,5082.0,609.87886,0.389,609.9173553719008,609878.86,0.038495371900808095,609268.9426446281,xsect_pb seems to be in fb,16800.0,330.0,9.075578273809523,Four-fermion (WW/ZZ)
4f_zzorww_h,eL.pR,500070,61987400.0,5003.0,12389.292,7.96,12390.04597241655,12389292.0,0.7539724165508233,12376901.954027584,xsect_pb seems to be in fb,8200.0,241.0,377.72231707317076,Four-fermion (WW/ZZ)
4f_zzorww_l,eL.pR,500098,8400000.0,5131.0,1637.0568,0.91,1637.1077762619373,1637056.8,0.05097626193719407,1635419.6922237382,xsect_pb seems to be in fb,46000.0,23104.0,8.897047826086958,Four-fermion (WW/ZZ)
6f_eexxxx,eL.pR,402309,20000.0,1478077.0,0.01353109,8.87e-05,0.013531094794114244,13.53109,4.794114242742675e-09,13.517558905205886,xsect_pb seems to be in fb,2000.0,58.0,0.00169138625,Other multi-fermion
6f_eexyyx,eL.pR,402303,20000.0,28083.0,0.71215521,0.00407,0.7121746252181035,712.15521,1.941521810344682e-05,711.4430353747819,xsect_pb seems to be in fb,2000.0,52.0,0.08901940125,Other multi-fermion
6f_eeyyyy,eL.pR,402315,20000.0,1273115.0,0.015709496,0.000103,0.01570949992734356,15.709496,3.92734356147173e-09,15.693786500072656,xsect_pb seems to be in fb,2000.0,107.0,0.001963687,Other multi-fermion
6f_llxxxx,eL.pR,402307,20000.0,753740.0,0.026534329,8.48e-05,0.026534348714410804,26.534329,1.9714410805227178e-08,26.50779465128559,xsect_pb seems to be in fb,2000.0,802.0,0.003316791125,Other multi-fermion
6f_llxyyx,eL.pR,402301,20000.0,16875.0,1.1851486,0.00287,1.1851851851851851,1185.1486,3.658518518512288e-05,1183.9634148148148,xsect_pb seems to be in fb,2000.0,759.0,0.148143575,Other multi-fermion
6f_llyyyy,eL.pR,402313,20000.0,550445.0,0.03633422,0.000141,0.036334238661446645,36.33422,1.8661446644918644e-08,36.297885761338556,xsect_pb seems to be in fb,2000.0,760.0,0.0045417775,Other multi-fermion
6f_vvxxxx,eL.pR,402311,20000.0,1055477.0,0.01894877,7.31e-05,0.018948778609102802,18.94877,8.609102802176194e-09,18.929821221390895,xsect_pb seems to be in fb,2000.0,56.0,0.00236859625,Other multi-fermion
6f_vvxyyx,eL.pR,402305,20000.0,261165.0,0.076579776,0.000321,0.07657993988474719,76.579776,1.6388474718964652e-07,76.50319606011524,xsect_pb seems to be in fb,2000.0,60.0,0.009572472,Other multi-fermion
