nCharged,nChargedNonMuon,nTracks,nTracksNonMuon,totalCharge,sumPtChargedNonMuon,nRecoTracks,visibleEnergy,visiblePx,visiblePy,visiblePz,visiblePt,invMass,recoilMass,totalEnergy,mu1_E,mu1_px,mu1_py,mu1_pz,mu1_pt,mu1_charge,mu2_E,mu2_px,mu2_py,mu2_pz,mu2_pt,mu2_charge,dimuon_px,dimuon_py,dimuon_pz,dimuon_pt,missingEnergy,missingPx,missingPy,missingPz,met,process_id,weight,process_type,process_group
3.0,1.0,3.0,1.0,-1.0,1.057906e+09,3.0,112.56426,59.562233,18.406338,-8.099575,62.341423,90.79879,124.60113,110.43796,83.54789,77.569534,13.11571,-28.127857,78.67055,1.0,26.890068,-18.110815,5.2317805,19.175066,18.851343,-1.0,59.458717,18.34749,-8.952791,62.22515,137.43573,-59.562233,-18.406338,8.099575,62.341423,signal,0.0012192587939698495,signal,Signal
2.0,0.0,2.0,0.0,0.0,0.0,2.0,103.35425,13.957809,-45.065453,-14.450781,47.17749,90.81608,138.09575,103.35425,63.68806,-23.027328,-58.584305,-9.683538,62.947426,1.0,39.666183,36.985138,13.518854,-4.7672424,39.378418,-1.0,13.957809,-45.065453,-14.450781,47.17749,146.64575,-13.957809,45.065453,14.450781,47.17749,signal,0.0012192587939698495,signal,Signal
2.0,0.0,2.0,0.0,0.0,0.0,2.0,107.41789,-51.30538,-29.255169,-29.784748,59.0602,79.907455,128.00497,104.99986,80.772964,-70.923,-16.66703,-34.87679,72.85507,1.0,24.226894,18.858759,-14.6496315,4.0814786,23.88021,-1.0,-52.06424,-31.316662,-30.795311,60.757046,142.5821,51.30538,29.255169,29.784748,59.0602,signal,0.0012192587939698495,signal,Signal
2.0,0.0,2.0,0.0,0.0,0.0,2.0,111.08994,-3.0830965,-53.18897,-28.210009,53.278248,88.58492,134.09123,104.73366,59.498188,-43.32486,-39.62671,-9.627822,58.71388,-1.0,45.235474,41.669445,-11.154338,-13.618609,43.13655,1.0,-1.6554146,-50.781048,-23.246431,50.808025,138.91006,3.0830965,53.18897,28.210009,53.278248,signal,0.0012192587939698495,signal,Signal
2.0,0.0,2.0,0.0,0.0,0.0,2.0,109.38226,-27.562634,46.04894,35.972504,53.667526,82.55484,139.50351,99.708145,67.56025,-10.177683,62.94802,22.3233,63.765495,1.0,32.147896,-15.927481,-25.904194,10.428608,30.409077,-1.0,-26.105164,37.043827,32.751907,45.31804,140.61774,27.562634,-46.04894,-35.972504,53.667526,signal,0.0012192587939698495,signal,Signal
2.0,0.0,2.0,0.0,0.0,0.0,2.0,111.69466,53.1,7.249484,29.13913,53.592583,93.56518,124.1254,111.69466,83.489136,60.99747,10.665656,55.999725,61.922916,1.0,28.205519,-7.8974714,-3.4161718,-26.860596,8.604667,-1.0,53.1,7.249484,29.13913,53.592583,138.30534,-53.1,-7.249484,-29.13913,53.592583,signal,0.0012192587939698495,signal,Signal
2.0,0.0,2.0,0.0,0.0,0.0,2.0,110.64955,23.47316,54.105064,8.946745,58.977512,92.944916,126.5288,110.25844,67.23442,44.187935,31.710552,39.526134,54.388718,-1.0,43.024017,-20.901033,22.079391,-30.44164,30.40317,1.0,23.286901,53.789944,9.084494,58.614315,139.35045,-23.47316,-54.105064,-8.946745,58.977512,signal,0.0012192587939698495,signal,Signal
2.0,0.0,2.0,0.0,0.0,0.0,2.0,111.93178,10.273611,-18.0159,50.97868,20.739328,97.466805,126.62499,111.93178,62.373127,-17.574389,-52.47514,28.773043,55.339855,-1.0,49.55865,27.848,34.45924,22.205637,44.305195,1.0,10.273611,-18.0159,50.97868,20.739328,138.06822,-10.273611,18.0159,-50.97868,20.739328,signal,0.0012192587939698495,signal,Signal
2.0,0.0,2.0,0.0,0.0,0.0,2.0,108.48926,-46.500095,-7.486923,-25.234108,47.09897,53.747486,156.1749,81.99638,68.90469,-62.004593,-30.042389,0.8495388,68.89931,-1.0,13.091691,3.104539,11.489418,-5.4523363,11.901465,1.0,-58.900055,-18.55297,-4.6027975,61.752968,141.51074,46.500095,7.486923,25.234108,47.09897,signal,0.0012192587939698495,signal,Signal
4.0,2.0,4.0,2.0,0.0,1.06739315e+09,4.0,108.826164,-21.835041,-11.992846,59.30172,24.91179,83.57619,131.19418,104.54613,69.59739,-7.5016356,-43.45993,53.83992,44.102608,-1.0,34.948742,-14.418739,31.60622,3.813367,34.73979,1.0,-21.920376,-11.85371,57.653286,24.92014,141.17383,21.835041,11.992846,-59.30172,24.91179,signal,0.0012192587939698495,signal,Signal
2.0,0.0,2.0,0.0,0.0,0.0,2.0,107.67564,46.017197,-32.321255,-1.2401099,56.23385,86.36129,133.83635,104.09221,69.168686,34.652008,-53.001747,27.826992,63.324142,-1.0,34.923523,12.192184,18.625977,-26.908302,22.261545,1.0,46.844193,-34.37577,0.9186897,58.103977,142.32437,-46.017197,32.321255,1.2401099,56.23385,signal,0.0012192587939698495,signal,Signal
2.0,0.0,2.0,0.0,0.0,0.0,2.0,110.07037,-39.827103,-8.605664,-40.468197,40.746235,91.97422,128.47043,108.90921,81.11521,-45.902786,0.9556286,-66.87061,45.91273,1.0,27.793999,5.3054986,-8.969672,25.765938,10.421292,-1.0,-40.597286,-8.014044,-41.104675,41.380726,139.92963,39.827103,8.605664,40.468197,40.746235,signal,0.0012192587939698495,signal,Signal
2.0,0.0,2.0,0.0,0.0,0.0,2.0,122.52387,27.363716,39.31599,13.978842,47.90115,103.53218,124.35152,115.51123,74.434074,62.156345,16.07761,37.663128,64.202034,-1.0,41.077152,-29.981544,19.671574,-20.036201,35.858944,1.0,32.1748,35.749184,17.626926,48.095966,127.47613,-27.363716,-39.31599,-13.978842,47.90115,signal,0.0012192587939698495,signal,Signal
