ProducedRate,n_prod,n_gen,process_type,pol,processID,NbEvents,int.lumi(1/fb),Done %,ElogID(s),ProdIDs of DST and REC files
100.00%,33598600,33600000,e2e2h_aa,eL.pR,402142,100000,2595825,100.0,385,"DST=15206,15207;REC=15206"
100.00%,33598600,33600000,e2e2h_aa,eR.pL,402151,100000,4053033,100.0,385,"DST=15206,15207;REC=15206"
100.00%,33598600,33600000,e2e2h_az,eL.pR,402143,100000,3851323,100.0,385,"DST=15206,15207;REC=15206"
100.00%,33598600,33600000,e2e2h_az,eR.pL,402152,100000,6013324,100.0,385,"DST=15206,15207;REC=15206"
100.00%,33598600,33600000,e2e2h_bb,eL.pR,402137,100000,10124,100.0,385,"DST=15206,15207;REC=15206"
100.00%,33598600,33600000,e2e2h_bb,eR.pL,402146,100000,15808,100.0,385,"DST=15206,15207;REC=15206"
100.00%,33598600,33600000,e2e2h_cc,eL.pR,402138,100000,203893,100.0,385,"DST=15206,15207;REC=15206"
100.00%,33598600,33600000,e2e2h_cc,eR.pL,402147,100000,318352,100.0,385,"DST=15206,15207;REC=15206"
100.00%,33598600,33600000,e2e2h_dd,eL.pR,402715,100000,113317778,100.0,617,"DST=15816,15817;REC=15816"
100.00%,33598600,33600000,e2e2h_dd,eR.pL,402718,100000,176930519,100.0,617,"DST=15816,15817;REC=15816"
100.00%,33598600,33600000,e2e2h_e2e2,eL.pR,402145,100000,27029928,100.0,385,"DST=15206,15207;REC=15206"
100.00%,33598600,33600000,e2e2h_e2e2,eR.pL,402154,100000,42203610,100.0,385,"DST=15206,15207;REC=15206"
100.00%,33598600,33600000,e2e2h_e3e3,eL.pR,402144,500000,469898,100.0,385,"DST=15206,15207;REC=15206"
100.00%,33598600,33600000,e2e2h_e3e3,eR.pL,402153,500000,733683,100.0,385,"DST=15206,15207;REC=15206"
100.00%,33598600,33600000,e2e2h_gg,eL.pR,402139,100000,71947,100.0,385,"DST=15206,15207;REC=15206"
100.00%,33598600,33600000,e2e2h_gg,eR.pL,402148,100000,112336,100.0,385,"DST=15206,15207;REC=15206"
100.00%,33598600,33600000,e2e2h_ss,eL.pR,402713,100000,23953351,100.0,617,"DST=15816,15817;REC=15816"
100.00%,33598600,33600000,e2e2h_ss,eR.pL,402716,100000,37399947,100.0,617,"DST=15816,15817;REC=15816"
100.00%,33598600,33600000,e2e2h_uu,eL.pR,402714,100000,491043706,100.0,617,"DST=15816,15817;REC=15816"
100.00%,33598600,33600000,e2e2h_uu,eR.pL,402717,100000,766698917,100.0,617,"DST=15816,15817;REC=15816"
100.00%,33598600,33600000,e2e2h_ww,eL.pR,402140,500000,137675,100.0,385,"DST=15206,15207;REC=15206"
100.00%,33598600,33600000,e2e2h_ww,eR.pL,402149,500000,214962,100.0,385,"DST=15206,15207;REC=15206"
100.00%,33598600,33600000,e2e2h_zz,eL.pR,402141,500000,1124527,100.0,385,"DST=15206,15207;REC=15206"
100.00%,33598600,33600000,e2e2h_zz,eR.pL,402150,500000,1755799,100.0,385,"DST=15206,15207;REC=15206"
100.00%,33598600,33600000,e3e3h_aa,eL.pR,402160,100000,2600411,100.0,386,"DST=15209,15210;REC=15209"
100.00%,33598600,33600000,e3e3h_aa,eR.pL,402169,100000,4062632,100.0,386,"DST=15209,15210;REC=15209"
100.00%,33598600,33600000,e3e3h_az,eL.pR,402161,100000,3858127,100.0,386,"DST=15209,15210;REC=15209"
100.00%,33598600,33600000,e3e3h_az,eR.pL,402170,100000,6027565,100.0,386,"DST=15209,15210;REC=15209"
100.00%,33598600,33600000,e3e3h_bb,eL.pR,402155,100000,10142,100.0,386,"DST=15209,15210;REC=15209"
100.00%,33598600,33600000,e3e3h_bb,eR.pL,402164,100000,15845,100.0,386,"DST=15209,15210;REC=15209"
100.00%,33598600,33600000,e3e3h_cc,eL.pR,402156,100000,204253,100.0,386,"DST=15209,15210;REC=15209"
100.00%,33598600,33600000,e3e3h_cc,eR.pL,402165,100000,319106,100.0,386,"DST=15209,15210;REC=15209"
100.00%,33598600,33600000,e3e3h_dd,eL.pR,402721,100000,113517975,100.0,617,"DST=15816,15817;REC=15816"
100.00%,33598600,33600000,e3e3h_dd,eR.pL,402724,100000,177349535,100.0,617,"DST=15816,15817;REC=15816"
100.00%,33598600,33600000,e3e3h_e2e2,eL.pR,402163,100000,27077682,100.0,386,"DST=15209,15210;REC=15209"
100.00%,33598600,33600000,e3e3h_e2e2,eR.pL,402172,100000,42303559,100.0,386,"DST=15209,15210;REC=15209"
100.00%,33598600,33600000,e3e3h_e3e3,eL.pR,402162,500000,470728,100.0,386,"DST=15209,15210;REC=15209"
100.00%,33598600,33600000,e3e3h_e3e3,eR.pL,402171,500000,735420,100.0,386,"DST=15209,15210;REC=15209"
100.00%,33598600,33600000,e3e3h_gg,eL.pR,402157,100000,72074,100.0,386,"DST=15209,15210;REC=15209"
100.00%,33598600,33600000,e3e3h_gg,eR.pL,402166,100000,112602,100.0,386,"DST=15209,15210;REC=15209"
100.00%,33598600,33600000,e3e3h_ss,eL.pR,402719,100000,23995669,100.0,617,"DST=15816,15817;REC=15816"
100.00%,33598600,33600000,e3e3h_ss,eR.pL,402722,100000,37488519,100.0,617,"DST=15816,15817;REC=15816"
100.00%,33598600,33600000,e3e3h_uu,eL.pR,402720,100000,491911228,100.0,617,"DST=15816,15817;REC=15816"
100.00%,33598600,33600000,e3e3h_uu,eR.pL,402723,100000,768514655,100.0,617,"DST=15816,15817;REC=15816"
100.00%,33598600,33600000,e3e3h_ww,eL.pR,402158,500000,137919,100.0,386,"DST=15209,15210;REC=15209"
100.00%,33598600,33600000,e3e3h_ww,eR.pL,402167,500000,215471,100.0,386,"DST=15209,15210;REC=15209"
100.00%,33598600,33600000,e3e3h_zz,eL.pR,402159,500000,1126514,100.0,386,"DST=15209,15210;REC=15209"
100.00%,33598600,33600000,e3e3h_zz,eR.pL,402168,500000,1759957,100.0,386,"DST=15209,15210;REC=15209"
100.00%,33598600,33600000,n1n1h_aa,eL.pR,402178,100000,729945,100.0,383,"DST=15200,15201;REC=15200"
100.00%,33598600,33600000,n1n1h_aa,eR.pL,402187,100000,2052387,100.0,383,"DST=15200,15201;REC=15200"
100.00%,33598600,33600000,n1n1h_az,eL.pR,402179,100000,1082991,100.0,383,"DST=15200,15201;REC=15200"
100.00%,33598600,33600000,n1n1h_az,eR.pL,402188,100000,3045045,100.0,383,"DST=15200,15201;REC=15200"
100.00%,33598600,33600000,n1n1h_bb,eL.pR,402173,100000,2847,100.0,383,"DST=15200,15201;REC=15200"
100.00%,33598600,33600000,n1n1h_bb,eR.pL,402182,100000,8005,100.0,383,"DST=15200,15201;REC=15200"
100.00%,33598600,33600000,n1n1h_cc,eL.pR,402174,100000,57334,100.0,383,"DST=15200,15201;REC=15200"
100.00%,33598600,33600000,n1n1h_cc,eR.pL,402183,100000,161208,100.0,383,"DST=15200,15201;REC=15200"
100.00%,33598600,33600000,n1n1h_dd,eL.pR,402727,100000,31864929,100.0,617,"DST=15816,15817;REC=15816"
100.00%,33598600,33600000,n1n1h_dd,eR.pL,402730,100000,89594602,100.0,617,"DST=15816,15817;REC=15816"
100.00%,33598600,33600000,n1n1h_e2e2,eL.pR,402181,100000,7600808,100.0,383,"DST=15200,15201;REC=15200"
100.00%,33598600,33600000,n1n1h_e2e2,eR.pL,402190,100000,21371189,100.0,383,"DST=15200,15201;REC=15200"
100.00%,33598600,33600000,n1n1h_e3e3,eL.pR,402180,500000,132135,100.0,383,"DST=15200,15201;REC=15200"
100.00%,33598600,33600000,n1n1h_e3e3,eR.pL,402189,500000,371524,100.0,383,"DST=15200,15201;REC=15200"
100.00%,33598600,33600000,n1n1h_gg,eL.pR,402175,100000,20231,100.0,383,"DST=15200,15201;REC=15200"
100.00%,33598600,33600000,n1n1h_gg,eR.pL,402184,100000,56885,100.0,383,"DST=15200,15201;REC=15200"
100.00%,33598600,33600000,n1n1h_ss,eL.pR,402725,100000,6735676,100.0,617,"DST=15816,15817;REC=15816"
100.00%,33598600,33600000,n1n1h_ss,eR.pL,402728,100000,18938696,100.0,617,"DST=15816,15817;REC=15816"
100.00%,33598600,33600000,n1n1h_uu,eL.pR,402726,100000,138081361,100.0,617,"DST=15816,15817;REC=15816"
100.00%,33598600,33600000,n1n1h_uu,eR.pL,402729,100000,388243279,100.0,617,"DST=15816,15817;REC=15816"
100.00%,33598600,33600000,n1n1h_ww,eL.pR,402176,500000,38714,100.0,"383,389","DST=15200,15201,15218,15219;REC=15200,15218"
100.00%,33598600,33600000,n1n1h_ww,eR.pL,402185,500000,108853,100.0,383,"DST=15200,15201;REC=15200"
100.00%,33598600,33600000,n1n1h_zz,eL.pR,402177,500000,316216,100.0,383,"DST=15200,15201;REC=15200"
100.00%,33598600,33600000,n1n1h_zz,eR.pL,402186,500000,889106,100.0,383,"DST=15200,15201;REC=15200"
100.00%,33598600,33600000,n23n23h_aa,eL.pR,402196,100000,656420,100.0,383,"DST=15200,15201;REC=15200"
100.00%,33598600,33600000,n23n23h_aa,eR.pL,402205,100000,1026206,100.0,383,"DST=15200,15201;REC=15200"
100.00%,33598600,33600000,n23n23h_az,eL.pR,402197,100000,973905,100.0,383,"DST=15200,15201;REC=15200"
100.00%,33598600,33600000,n23n23h_az,eR.pL,402206,100000,1522541,100.0,383,"DST=15200,15201;REC=15200"
100.00%,33598600,33600000,n23n23h_bb,eL.pR,402191,100000,2560,100.0,383,"DST=15200,15201;REC=15200"
100.00%,33598600,33600000,n23n23h_bb,eR.pL,402200,100000,4002,100.0,383,"DST=15200,15201;REC=15200"
100.00%,33598600,33600000,n23n23h_cc,eL.pR,402192,100000,51559,100.0,383,"DST=15200,15201;REC=15200"
100.00%,33598600,33600000,n23n23h_cc,eR.pL,402201,100000,80605,100.0,383,"DST=15200,15201;REC=15200"
100.00%,33598600,33600000,n23n23h_dd,eL.pR,402733,100000,28655283,100.0,617,"DST=15816,15817;REC=15816"
100.00%,33598600,33600000,n23n23h_dd,eR.pL,402736,100000,44797858,100.0,617,"DST=15816,15817;REC=15816"
100.00%,33598600,33600000,n23n23h_e2e2,eL.pR,402199,100000,6835205,100.0,383,"DST=15200,15201;REC=15200"
100.00%,33598600,33600000,n23n23h_e2e2,eR.pL,402208,100000,10685727,100.0,383,"DST=15200,15201;REC=15200"
100.00%,33598600,33600000,n23n23h_e3e3,eL.pR,402198,500000,118825,100.0,383,"DST=15200,15201;REC=15200"
100.00%,33598600,33600000,n23n23h_e3e3,eR.pL,402207,500000,185764,100.0,383,"DST=15200,15201;REC=15200"
100.00%,33598600,33600000,n23n23h_gg,eL.pR,402193,100000,18193,100.0,383,"DST=15200,15201;REC=15200"
100.00%,33598600,33600000,n23n23h_gg,eR.pL,402202,100000,28443,100.0,383,"DST=15200,15201;REC=15200"
100.00%,33598600,33600000,n23n23h_ss,eL.pR,402731,100000,6057214,100.0,617,"DST=15816,15817;REC=15816"
100.00%,33598600,33600000,n23n23h_ss,eR.pL,402734,100000,9469466,100.0,617,"DST=15816,15817;REC=15816"
100.00%,33598600,33600000,n23n23h_uu,eL.pR,402732,100000,124172896,100.0,617,"DST=15816,15817;REC=15816"
100.00%,33598600,33600000,n23n23h_uu,eR.pL,402735,100000,194124054,100.0,617,"DST=15816,15817;REC=15816"
100.00%,33598600,33600000,n23n23h_ww,eL.pR,402194,500000,34814,100.0,383,"DST=15200,15201;REC=15200"
100.00%,33598600,33600000,n23n23h_ww,eR.pL,402203,500000,54427,100.0,383,"DST=15200,15201;REC=15200"
100.00%,33598600,33600000,n23n23h_zz,eL.pR,402195,500000,284365,100.0,383,"DST=15200,15201;REC=15200"
100.00%,33598600,33600000,n23n23h_zz,eR.pL,402204,500000,444558,100.0,383,"DST=15200,15201;REC=15200"
100.00%,33598600,33600000,qqh_aa,eL.pR,402214,100000,128422,100.0,384,"DST=15203,15204;REC=15203"
100.00%,33598600,33600000,qqh_aa,eR.pL,402223,100000,200709,100.0,384,"DST=15203,15204;REC=15203"
100.00%,33598600,33600000,qqh_az,eL.pR,402215,100000,190535,100.0,384,"DST=15203,15204;REC=15203"
100.00%,33598600,33600000,qqh_az,eR.pL,402224,100000,297784,100.0,384,"DST=15203,15204;REC=15203"
100.00%,33598600,33600000,qqh_bb,eL.pR,402209,100000,500,100.0,388,"DST=15215,15216;REC=15215"
100.00%,33598600,33600000,qqh_bb,eR.pL,402218,100000,782,100.0,384,"DST=15203,15204;REC=15203"
100.00%,33598600,33600000,qqh_cc,eL.pR,402210,100000,10087,100.0,384,"DST=15203,15204;REC=15203"
100.00%,33598600,33600000,qqh_cc,eR.pL,402219,100000,15765,100.0,384,"DST=15203,15204;REC=15203"
100.00%,33598600,33600000,qqh_dd,eL.pR,402739,100000,5606144,100.0,617,"DST=15816,15817;REC=15816"
100.00%,33598600,33600000,qqh_dd,eR.pL,402742,100000,8761723,100.0,617,"DST=15816,15817;REC=15816"
100.00%,33598600,33600000,qqh_e2e2,eL.pR,402217,100000,1337245,100.0,384,"DST=15203,15204;REC=15203"
100.00%,33598600,33600000,qqh_e2e2,eR.pL,402226,100000,2089952,100.0,384,"DST=15203,15204;REC=15203"
100.00%,33598600,33600000,qqh_e3e3,eL.pR,402216,500000,23247,100.0,384,"DST=15203,15204;REC=15203"
100.00%,33598600,33600000,qqh_e3e3,eR.pL,402225,500000,36332,100.0,384,"DST=15203,15204;REC=15203"
100.00%,33598600,33600000,qqh_gg,eL.pR,402211,100000,3559,100.0,384,"DST=15203,15204;REC=15203"
100.00%,33598600,33600000,qqh_gg,eR.pL,402220,100000,5562,100.0,384,"DST=15203,15204;REC=15203"
100.00%,33598600,33600000,qqh_ss,eL.pR,402737,100000,1185038,100.0,617,"DST=15816,15817;REC=15816"
100.00%,33598600,33600000,qqh_ss,eR.pL,402740,99800,1848367,99.8,617,"DST=15816,15817;REC=15816"
100.00%,33598600,33600000,qqh_uu,eL.pR,402738,100000,24293291,100.0,617,"DST=15816,15817;REC=15816"
100.00%,33598600,33600000,qqh_uu,eR.pL,402741,100000,37967467,100.0,617,"DST=15816,15817;REC=15816"
100.00%,33598600,33600000,qqh_ww,eL.pR,402212,500000,6811,100.0,384,"DST=15203,15204;REC=15203"
100.00%,33598600,33600000,qqh_ww,eR.pL,402221,500000,10645,100.0,384,"DST=15203,15204;REC=15203"
100.00%,33598600,33600000,qqh_zz,eL.pR,402213,500000,55633,100.0,384,"DST=15203,15204;REC=15203"
100.00%,33598600,33600000,qqh_zz,eR.pL,402222,500000,86948,100.0,384,"DST=15203,15204;REC=15203"
97.49%,1759377800,1804700000,2f_z_eehiq,eL.pL,500001,37796400,189,94.0,"611,618,619,620,621,622,623,624,625","DST=15780,15781,15828,15830,15832,15834,15842,1583615838,15840;REC=15780"
97.49%,1759377800,1804700000,2f_z_eehiq,eL.pR,500002,179572800,929,92.9,"612,626,627,629,631,634,635,636,637,638639,640","DST=15783,15784,15850,15858,15861,15867,15877,1587915884,15886,15888,15890,15892;REC=15783"
97.49%,1759377800,1804700000,2f_z_eehiq,eR.pL,500004,174184800,914,91.3,"613,655,656,663,665,667,673,682,684,687697,698","DST=15786,15787,15924,15926,15940,15945,15949,1596216012,15982,15988,16008,16010;REC=15786"
97.49%,1759377800,1804700000,2f_z_eehiq,eR.pR,500003,40194600,201,100.0,"614,641,642,643,644,648,649,650,651,652","DST=15789,15790,15894,15896,15898,15900,15910,1591215914,15916,15918;REC=15789"
97.49%,1759377800,1804700000,2f_z_h,eL.pR,500010,639084400,4994,99.9,"370,403,404,420,421,436,437,438,439,489490,491,492,493,494,495,496,497,507,508509,510,511,512,513,514,515,516,527,528529,530,531,532,533,534,535,536,547,548549,550,551,552,553,554,555,556,567,569","DST=15161,15162,15271,15273,15315,15319,15351,1535315355,15357,15463,15465,15467,15469,15471,1547315475,15477,15479,15499,15501,15503,15505,1550715509,15511,15513,15515,15517,15539,15541,1554915551,15553,15555,15557,15559,15561,15563,1558515587,15589,15591,15593,15595,15597,15599,1560115603,15629,15633;REC=15161"
97.49%,1759377800,1804700000,2f_z_h,eR.pL,500012,351686600,4994,99.9,"371,405,406,407,440,441,442,443,444,445498,499,500,501,502,503,504,505,506,517518,519,520,521,522,523,524,525,526,537538,539,540,541,542,543,544,545,546,557558,559,560,561,562,563,564,565,566,568","DST=15164,15165,15275,15277,15279,15359,15361,1536315365,15367,15369,15481,15483,15485,15487,1548915491,15493,15495,15497,15519,15521,15523,1552515527,15529,15531,15533,15535,15537,15565,1556715569,15571,15573,15575,15577,15579,15581,1558315605,15607,15609,15611,15613,15616,15618,1562015625,15627,15631;REC=15164"
